8,Buffer Overflow in an API Call,26,476,4381,5459,3.918641225
9,Buffer Overflow in Local Command-Line Utilities,26,476,4381,5459,3.918641225
10,Buffer Overflow via Environment Variables,26,476,4381,5459,3.918641225
14,Client-side Injection-induced Buffer Overflow,26,476,4381,5459,3.918641225
24,Filter Failure through Buffer Overflow,26,476,4381,5459,3.918641225
42,MIME Conversion,26,476,4381,5459,3.918641225
45,Buffer Overflow via Symbolic Links,26,476,4381,5459,3.918641225
46,Overflow Variables and Tags,26,476,4381,5459,3.918641225
47,Buffer Overflow via Parameter Expansion,26,476,4381,5459,3.918641225
91,XSS in IMG Tags,12,361,4622,5122,3.127384833
106,Cross Site Scripting through Log Files,12,361,4622,5122,3.127384833
18,Embedding Scripts in Non-Script Elements,12,361,4622,5103,3.123904342
32,Embedding Scripts in HTTP Query Strings,12,361,4622,5103,3.123904342
63,Simple Script Injection,12,361,4622,5103,3.123904342
85,AJAX Fingerprinting,12,361,4622,5103,3.123904342
86,Embedding Script (XSS) in HTTP Headers,12,361,4622,5103,3.123904342
199,Cross-Site Scripting Using Alternate Syntax,12,361,4622,5103,3.123904342
244,Cross-Site Scripting via Encoded URI Schemes ,12,361,4622,5103,3.123904342
79,Using Slashes in Alternate Encoding,21,307,3730,4076,2.981441807
22,Exploiting Trust in Client,22,268,3076,3884,2.765663628
108,Command Line Execution through SQL Injection,11,315,4769,2974,2.629630052
7,Blind SQL Injection,11,310,4715,2836,2.582523366
66,SQL Injection,11,310,4715,2836,2.582523366
109,Object Relational Mapping Injection,11,310,4715,2817,2.579042875
110,SQL Injection through SOAP Parameter Tampering,11,310,4715,2817,2.579042875
44,Overflow Binary Resource File,15,335,2762,3495,2.500088793
100,Overflow Buffers,15,335,2762,3495,2.500088793
13,Subverting Environment Variable Values,18,233,2522,3513,2.354159986
64,Using Slashes and URL Encoding Combined to Bypass Validation Logic,14,215,2827,2527,2.045834252
78,Using Escaped Slashes in Alternate Encoding,14,215,2827,2527,2.045834252
139,Relative Path Traversal,14,215,2827,2508,2.042353762
19,Embedding Scripts within Scripts,1,220,3003,3358,1.745469148
209,Cross-Site Scripting Using MIME Type Mismatch,1,220,3003,3178,1.712496076
198,Cross-Site Scripting in Error Pages,1,220,3003,3158,1.708832401
232,,1,220,3003,3158,1.708832401
243,Cross-Site Scripting in Attributes,1,220,3003,3158,1.708832401
245,"Cross-Site Scripting Using Doubled Characters, e.g. %3C%3Cscript",1,220,3003,3158,1.708832401
246,Cross-Site Scripting Using Flash,1,220,3003,3158,1.708832401
247,Cross-Site Scripting with Masking through Invalid Characters in Identifiers,1,220,3003,3158,1.708832401
67,String Format Overflow in syslog(),11,166,1726,1994,1.499005521
135,Format String Injection,11,166,1726,1994,1.499005521
43,Exploiting Multiple Input Interpretation Layers,11,146,1673,2158,1.475917406
88,OS Command Injection,11,146,1673,2083,1.462178626
136,LDAP Injection,11,141,1619,2001,1.425330229
3,Using Leading 'Ghost' Character Sequences to Bypass Input Filters,11,141,1619,1964,1.418552431
28,Fuzzing,11,141,1619,1964,1.418552431
52,Embedding NULL Bytes,11,141,1619,1964,1.418552431
53,"Postfix, Null Terminate, and Backslash",11,141,1619,1964,1.418552431
71,Using Unicode Encoding to Bypass Validation Logic,11,141,1619,1964,1.418552431
72,URL Encoding,11,141,1619,1964,1.418552431
80,Using UTF-8 Encoding to Bypass Validation Logic,11,141,1619,1964,1.418552431
83,XPath Injection,11,141,1619,1964,1.418552431
101,Server Side Include (SSI) Injection,11,141,1619,1964,1.418552431
250,XML Injection,11,141,1619,1964,1.418552431
267,Leverage Alternate Encoding,11,141,1619,1964,1.418552431
31,Accessing/Intercepting/Modifying HTTP Cookies,11,141,1619,1945,1.41507194
73,User-Controlled Filename,11,141,1619,1945,1.41507194
81,Web Logs Tampering,11,141,1619,1945,1.41507194
99,XML Parser Attack,11,141,1619,1945,1.41507194
104,Cross Zone Scripting,11,141,1619,1945,1.41507194
171,Variable Manipulation,11,141,1619,1945,1.41507194
182,Flash Injection,11,141,1619,1945,1.41507194
230,XML Nested Payloads,11,141,1619,1945,1.41507194
231,XML Oversized Payloads,11,141,1619,1945,1.41507194
264,Environment Variable Manipulation,11,141,1619,1945,1.41507194
265,Global variable manipulation,11,141,1619,1945,1.41507194
473,Signature Spoof,11,141,1619,1945,1.41507194
484,XML Client-Side Attack,11,141,1619,1945,1.41507194
35,Leverage Executable Code in Non-Executable Files,11,247,1595,643,1.394223294
77,Manipulating User-Controlled Variables,7,234,1308,524,1.13108702
59,Session Credential Falsification through Prediction,7,92,903,1549,0.935607555
60,Reusing Session IDs (aka Session Replay),7,92,903,1549,0.935607555
169,Footprinting,7,92,903,1549,0.935607555
472,Browser Fingerprinting,7,92,903,1549,0.935607555
76,Manipulating Input to File System Calls,7,87,1495,757,0.904156875
23,File Content Injection,3,74,1208,619,0.63754011
213,Directory Traversal,3,74,1208,563,0.627281821
57,Utilizing REST's Trust in the System Resource to Register Man in the Middle,4,35,554,390,0.414984133
94,Man in the Middle Attack,4,35,554,390,0.414984133
114,Authentication Abuse,4,35,554,390,0.414984133
17,"Accessing, Modifying or Executing Executable Files",4,13,287,119,0.263136274
132,Symlink Attack,4,13,287,119,0.263136274
26,Leveraging Race Conditions,2,14,123,229,0.174075487
29,Leveraging Time-of-Check and Time-of-Use (TOCTOU) Race Conditions,2,14,123,229,0.174075487
